Host,Certificate,Expiration
10.10.20.1,tomcat,Tue Mar 30 02:19:31 PDT 2021
10.10.20.1,ipsec,Sun Jul 09 16:38:12 PDT 2023
10.10.20.1,CallManager,Sun Jul 09 16:32:49 PDT 2023
10.10.20.1,CAPF,Sun Jul 09 16:32:59 PDT 2023
10.10.20.1,TVS,Sun Jul 09 16:33:04 PDT 2023
